16777216	17301503	AU
17367040	17432575	MY
17435136	17435391	AU
17498112	17563647	KR
17563648	17825791	CN
17825792	18087935	KR
18153472	18219007	JP
18219008	18350079	IN
18350080	18874367	CN
18939904	19005439	JP
19005440	19136511	TW
19136512	19202047	HK
19267584	19398655	IN
19398656	19726335	AU
19726336	19791871	CN
19791872	19922943	TH
19922944	20185087	CN
20185088	20447231	VN
20447232	20971519	CN
20971520	21102591	HK
21102592	21233663	JP
21233664	21495807	CN
21495808	22020095	JP
22020096	23068671	CN
23068672	24117247	KR
24117248	24379391	JP
24379392	24641535	CN
24641536	27262975	AU
27262976	28311551	TW
28311552	28442623	KR
28442624	28573695	AU
28573696	28966911	CN
28966912	29032447	IN
29097984	29884415	CN
29884416	29885439	AU
29949952	30015487	KR
30015488	30408703	CN
30408704	33554431	KR
33554432	34603007	FR
34603008	34620415	EU
34620416	34620927	SE
34620928	34621439	IT
34621440	34636799	EU
34636800	34637311	DE
34637312	34646527	EU
34646528	34647551	DE
34647552	34664447	EU
34664448	34668543	DE
34668544	34673663	EU
34673664	34674687	DE
34674688	34733055	EU
34733056	34734079	DE
34734080	34803711	EU
34803712	34807807	IT
34807808	34861055	EU
34861056	34865151	DE
34865152	34866175	EU
34866176	34867199	IT
34867200	34880511	EU
34880512	34881535	DE
34881536	35127295	EU
35127296	35651583	GB
35651584	36700159	IT
36700160	36962303	AE
36962304	37224447	IL
37224448	37265407	UA
37265408	37268479	CZ
37268480	37289983	UA
37289984	37298175	RU
37298176	37355519	UA
37355520	37421055	RU
37421056	37486591	UA
37486592	37748735	RU
37748736	38273023	SE
38273024	38797311	KZ
38797312	39059455	PT
39059456	39321599	GR
39321600	39583743	SA
39583744	39845887	RU
39845888	40370175	GB
40370176	40894463	DK
40894464	41418751	IT
41418752	41943039	GB
41943040	42205183	DK
42205184	42467327	KZ
42467328	42991615	ES
42991616	43253759	IR
43253760	43515903	NO
43515904	43778047	ES
43778048	44040191	IT
44040192	45088767	DE
45088768	46137343	IR
46137344	46661631	IT
46661632	47710207	DE
47710208	48234495	GB
48234496	49283071	IT
49283072	49807359	DE
49807360	50331647	SE
50331648	68257567	US
68257568	68257599	CA
68257600	68259583	US
68259584	68259599	CA
68259600	68296775	US
68296776	68296783	MX
68296784	68298887	US
68298888	68298895	CA
68298896	68305407	US
68305408	68305919	MX
68305920	68314143	US
68314144	68314151	CA
68314152	68395663	US
68395664	68395671	CA
68395672	68438287	US
68438288	68438303	CA
68438304	68649143	US
68649144	68649151	CA
68649152	69533951	US
69533952	69534207	CA
69534208	69915111	US
69915112	69915119	CA
69915120	69956103	US
69956104	69956111	BM
69956112	72303007	US
72303008	72303039	CA
72303040	72348895	US
72348896	72348927	CA
72348928	72349055	US
72349056	72349119	BM
72349120	83886079	US
100663296	121195295	US
121195296	121195327	IT
121195328	134693119	US
134693120	134693375	CA
134693376	134730239	US
134730240	134730495	CA
134730496	135192575	US
135192576	135200767	MX
135200768	135603199	US
135603200	135604223	CA
135604224	135606783	US
135606784	135607039	CA
135607040	152305663	US
152305664	152338431	GB
152338432	167772159	US
184549376	201405503	US
201405504	201405511	PR
201405512	201620303	US
201620304	201620311	CA
201620312	201636503	US
201636504	201636511	PR
201636512	201674095	US
201674096	201674111	CA
201674112	201745663	US
201745664	201745671	PR
201745672	201859071	US
201859072	201859087	VI
201859088	201897983	US
201897984	201898239	PR
201898240	202276999	US
202277000	202277015	PR
202277016	202296847	US
202296848	202296855	PR
202296856	202385407	US
202385408	202385919	PR
202385920	202517983	US
202517984	202517991	PR
202517992	202621343	US
202621344	202621351	PR
202621352	202621431	US
202621432	202621439	PR
202621440	202621479	US
202621480	202621487	PR
202621488	202621495	US
202621496	202621503	PR
202621504	202621703	US
202621704	202621711	PR
202621712	202625287	US
202625288	202625295	PR
202625296	202696783	US
202696784	202696791	PR
202696792	202706431	US
202706432	202706943	PR
